# compartments,# leaks,Leak locations,Input,Output,Identifiable,Square,Rank,Singular Locus
4,2,"1,4",3,4,True,True,8/8,-k12*k23*(2*k12^3*k43*k21^2-k23*k32^2*k43*k21^3-4*k12^2*k23*k43*k21^2+2*k12*k23*k32*k43^2*k21-k23*k32*k43*k21^3*k34+3*k12*k23^2*k32*k43*k21^2+2*k12^2*k43^3*k21^2+4*k12^2*k32*k43*k21^2*k34-k23^2*k32^2*k43*k21*k34-2*k12*k04^2*k21^2*(-1+k43)*(k12+k32-k21)+2*k12*k23^3*k32*k21+2*k12*k32*k21^2*k34^2-k23*k32^2*k21^2*k34-2*k23^2*k32^2*k43*k34-k23*k32*k43^2*k21^3-4*k12^2*k32*k43^2*k21^2-k23*k32^2*k43*k21^2+k23*k32*k43*k21^4+2*k12*k23*k32*k21^3-2*k12^3*k21^2*k34+2*k12*k43*k21^3*k34^2+k23^2*k32*k21^3+k23^3*k32^2*k21-2*k12*k23*k21^4+2*k12*k23*k43*k21^4+2*k12*k43^2*k21^4-k23^2*k32*k21^2*k34-2*k12*k32*k43*k21^2*k34^2-4*k12*k23*k43^2*k21^3-2*k12^2*k43^2*k21^2+2*k12*k23^2*k21^3-k23^2*k32*k43*k21^3-k12*k23*k32^2*k43*k21^2-2*k12*k23*k32*k43*k21*k34-2*k12*k21^3*k34^2+k23^2*k32^2*k21*k34+k23*k32^2*k21^3-k12*k23^2*k32*k43*k21*k34+k23^2*k32*k43*k21^2*k34-2*k12^3*k23*k43*k21^2+5*k12*k23*k32*k43^2*k21^2-k23*k32*k21^4-2*k12*k32^2*k43^2*k21^2+4*k12*k23^2*k32*k43*k21-2*k12*k23^2*k43*k21^3-2*k12^2*k43*k21^2*k34^2+3*k12^2*k23*k32*k21^2-k23^2*k32^2*k21^2+k23*k32*k21^3*k34-5*k12*k23*k32*k43*k21^2-2*k12*k23*k32*k43^2*k21*k34+2*k23*k32*k43^2*k21^2*k34+2*k12^3*k43*k21^2*k34+2*k12*k32^2*k43*k21^2-3*k12^2*k23*k32*k43*k21^2+2*k12*k32^2*k43*k21^2*k34-k12*k23*k32*k21^2*k34-2*k12*k32^2*k21^2*k34-2*k12*k43*k21^4-k23^3*k32^2*k34+2*k12*k43^2*k21^3-2*k12^2*k23^2*k21^2-2*k12*k32*k43^2*k21^2+4*k12*k23*k43*k21^3+k23^2*k32^2*k43*k21^2+k12*k23*k32*k43*k21^2*k34-2*k12*k23*k32*k43*k21^3+k23*k32^2*k43*k21^2*k34+k23^2*k32^2*k43*k21+k23*k32^2*k43^2*k21^2+4*k12^2*k32*k43*k21^2-2*k12*k43*k21^4*k34+2*k12^2*k23^2*k43*k21^2+k23*k32*k43*k21^3-((k23*k32*(k23+k43)-k21^2*(-1+k43)*(k23+k32+k43)+k32*k21*(-1+k43)*(k23+k43)+k21^3*(-1+k43))*k23*k32-4*k12^2*(k32-k34)*k21^2*(-1+k43)-k12*(4*k21^2*(-1+k43)*k34-k23*k32*(1+k43)*(k23+k43)-2*k21^3*(-1+k43)+(k23+2*k32-4*k34)*k32*k21*(-1+k43))*k21-2*k12^3*k21^2*(-1+k43))*k04-3*k12*k23^2*k32*k21^2-k01^3*(k12*k23*k32+(k23+k32+k43-4*k21+k34)*k23*k32+k04*(k23*k32+2*k12*k21)-2*k12*k21*(k23+k43-k34))*(-1+k43)-k12*k23^2*k32*k21*k34+2*k12^3*k23*k21^2+4*k12^2*k23*k43^2*k21^2-2*k12^3*k43^2*k21^2+k01*(k12^2*k21*(-1+k43)*(4*k23*k43+4*k32*k34-3*k23*k32-4*k32*k43+2*k43^2-2*k34^2+2*k23^2)+k23*k32*(2*(2*k43^2*k34+k23*(-1+k43)*(k32+k34)+k32*(k43+k34)*(-1+k43))*k21-k32*(2*k43^2*k34-k23*(k43-k43*k34+k34)-k23^2)+4*k21^3*(-1+k43)-3*(k23+k32+k43+k34)*k21^2*(-1+k43))-k12*(k23*k32*(k23*(-1+k43)+2*k43^2)*k34+k32*k21*(-1+k43)*(2*(k43-k34)*(k32-k43-k34)+k23*(k32-6*k43-2*k34)-4*k23^2)+(8*k23*k43+5*k23*k32+4*k43^2-4*k34^2+4*k23^2)*k21^2*(-1+k43)-6*k21^3*(-1+k43)*(k23+k43-k34))-2*k12^3*k21*(-1+k43)*(k23+k43-k34)-2*k12*k04^2*(k12+k32-2*k21)*k21*(-1+k43)+k04*(2*k12^3*k21-k23*k32*(k32*(k23+k43)+3*k21^2-2*k21*(k23+k32+k43))+4*k12^2*(k32-k34)*k21+k12*(8*k21^2*k34-k23*k32*(k23+k43)-6*k21^3+2*k32*(k23+k32-2*k34)*k21))*(-1+k43))-2*k12*k43^3*k21^3-k01^2*(k12*(2*(k43^2+2*k23*(k32+k43)-k34^2+k23^2)*k21-6*k21^2*(k23+k43-k34)-(k23+k43+k34)*k23*k32)*(-1+k43)-2*k12*k04^2*k21*(-1+k43)+k23*k32*(3*(k23+k32+k43+k34)*k21*(-1+k43)-k32*k43^2+k32*k34-2*k43^2*k34+k32*k43-k32*k43*k34-6*k21^2*(-1+k43)-k23*(-1+k43)*(k32+k34))+k04*(k12*(6*k21^2-k23*k32-4*k21*k34)-k23*k32*(k23+k32+k43-3*k21))*(-1+k43))+2*k12*k32*k43^3*k21^2+2*k12*k21^4*k34-2*k23*k32^2*k43^2*k21*k34+2*k12^2*k21^2*k34^2+k12*k23*k32^2*k21^2-4*k12^2*k32*k21^2*k34+k01^4*k23*k32*(-1+k43))*k43^2
4,2,"1,4",4,4,False,False,7/8,0
4,2,"2,3",1,1,False,False,7/8,0
4,2,"2,3",1,2,False,True,7/8,0
4,2,"2,3",1,3,False,False,6/8,0
4,2,"2,3",1,4,False,False,5/8,0
4,2,"2,3",2,2,False,False,7/8,0
4,2,"2,3",2,3,True,True,8/8,k12*(k32*k34+k12*k34-2*k12*k21+k43*k34-k32*k21-k34^2-k02*(k21-k34)+k21*k34)*(k32*k34*(k21-k34)+k12*k21)*k32^2*k21^2*k34
4,2,"2,3",2,4,False,False,7/8,0
4,2,"2,3",3,3,False,False,7/8,0
4,2,"2,3",3,4,False,True,7/8,0
4,2,"2,3",4,4,False,False,7/8,0
4,2,"2,4",1,1,False,False,7/8,0
4,2,"2,4",1,2,False,True,7/8,0
4,2,"2,4",1,3,False,False,6/8,0
4,2,"2,4",1,4,False,False,5/8,0
4,2,"2,4",2,2,False,False,7/8,0
4,2,"2,4",2,3,True,True,8/8,-(k02*(k04-k21+k34)+k32*k34-k04^2+k12*k34-2*k12*k21+k43*k34-k32*k21-k34^2+k04*(k12+k32+k21-2*k34)+k21*k34)*k12*k32^2*k43*k21^2*(k32*(k04-k21+k34)*(k04+k34)-k12*k21)
4,2,"2,4",2,4,False,False,7/8,0
4,2,"2,4",3,3,False,False,7/8,0
4,2,"2,4",3,4,True,True,8/8,-k23*(2*k12^3*k43*k21^2-k23*k32^2*k43*k21^3-4*k12^2*k23*k43*k21^2+2*k12*k23*k32*k43^2*k21-k23*k32*k43*k21^3*k34+3*k12*k23^2*k32*k43*k21^2+2*k12^2*k43^3*k21^2+4*k12^2*k32*k43*k21^2*k34-k23^2*k32^2*k43*k21*k34-2*k12*k04^2*k21^2*(-1+k43)*(k12+k32-k21)+2*k12*k23^3*k32*k21+2*k12*k32*k21^2*k34^2-k23*k32^2*k21^2*k34-2*k23^2*k32^2*k43*k34-k23*k32*k43^2*k21^3-4*k12^2*k32*k43^2*k21^2-k23*k32^2*k43*k21^2+k23*k32*k43*k21^4+2*k12*k23*k32*k21^3-2*k12^3*k21^2*k34+2*k12*k43*k21^3*k34^2+k23^2*k32*k21^3+k23^3*k32^2*k21-2*k12*k23*k21^4+2*k12*k23*k43*k21^4+2*k12*k43^2*k21^4-k23^2*k32*k21^2*k34-2*k12*k32*k43*k21^2*k34^2-4*k12*k23*k43^2*k21^3-2*k12^2*k43^2*k21^2+2*k12*k23^2*k21^3-k23^2*k32*k43*k21^3-k12*k23*k32^2*k43*k21^2-2*k12*k23*k32*k43*k21*k34-2*k12*k21^3*k34^2+k23^2*k32^2*k21*k34+k23*k32^2*k21^3-k12*k23^2*k32*k43*k21*k34+k23^2*k32*k43*k21^2*k34-2*k12^3*k23*k43*k21^2+5*k12*k23*k32*k43^2*k21^2-k23*k32*k21^4-2*k12*k32^2*k43^2*k21^2+4*k12*k23^2*k32*k43*k21-2*k12*k23^2*k43*k21^3-2*k12^2*k43*k21^2*k34^2+3*k12^2*k23*k32*k21^2-k23^2*k32^2*k21^2+k23*k32*k21^3*k34-5*k12*k23*k32*k43*k21^2-2*k12*k23*k32*k43^2*k21*k34+2*k23*k32*k43^2*k21^2*k34-k02*(((k23*k43-k23+2*k43^2)*k34-(k23+k43+k34)*k21*(-1+k43)+k21^2*(-1+k43))*k23*k32+2*k12*k04^2*k21*(-1+k43)-k04*(4*k12*(k32-k34)*k21+4*k12^2*k21-(k23+k43-k21)*k23*k32)*(-1+k43)+4*k12^2*k21*(-1+k43)*(k23+k43-k34)-k12*k21*(-1+k43)*(4*k23*k43+4*k32*k34-3*k23*k32-4*k32*k43+2*k43^2-2*k34^2+2*k23^2))*k21+2*k12*k02^2*k21^2*(-1+k43)*(k04-k23-k43+k34)+2*k12^3*k43*k21^2*k34+2*k12*k32^2*k43*k21^2-3*k12^2*k23*k32*k43*k21^2+2*k12*k32^2*k43*k21^2*k34-k12*k23*k32*k21^2*k34-2*k12*k32^2*k21^2*k34-2*k12*k43*k21^4-k23^3*k32^2*k34+2*k12*k43^2*k21^3-2*k12^2*k23^2*k21^2-2*k12*k32*k43^2*k21^2+4*k12*k23*k43*k21^3+k23^2*k32^2*k43*k21^2+k12*k23*k32*k43*k21^2*k34-2*k12*k23*k32*k43*k21^3+k23*k32^2*k43*k21^2*k34+k23^2*k32^2*k43*k21+k23*k32^2*k43^2*k21^2+4*k12^2*k32*k43*k21^2-2*k12*k43*k21^4*k34+2*k12^2*k23^2*k43*k21^2+k23*k32*k43*k21^3-((k23*k32*(k23+k43)-k21^2*(-1+k43)*(k23+k32+k43)+k32*k21*(-1+k43)*(k23+k43)+k21^3*(-1+k43))*k23*k32-4*k12^2*(k32-k34)*k21^2*(-1+k43)-k12*(4*k21^2*(-1+k43)*k34-k23*k32*(1+k43)*(k23+k43)-2*k21^3*(-1+k43)+(k23+2*k32-4*k34)*k32*k21*(-1+k43))*k21-2*k12^3*k21^2*(-1+k43))*k04-3*k12*k23^2*k32*k21^2-k12*k23^2*k32*k21*k34+2*k12^3*k23*k21^2+4*k12^2*k23*k43^2*k21^2-2*k12^3*k43^2*k21^2-2*k12*k43^3*k21^3+2*k12*k32*k43^3*k21^2+2*k12*k21^4*k34-2*k23*k32^2*k43^2*k21*k34+2*k12^2*k21^2*k34^2+k12*k23*k32^2*k21^2-4*k12^2*k32*k21^2*k34)*k43^2*k21
4,2,"2,4",4,4,False,False,7/8,0
4,2,"3,4",1,1,False,False,7/8,0
4,2,"3,4",1,2,False,True,7/8,0
4,2,"3,4",1,3,False,False,6/8,0
4,2,"3,4",1,4,False,False,5/8,0
4,2,"3,4",2,2,False,False,7/8,0
4,2,"3,4",2,3,False,True,7/8,0
4,2,"3,4",2,4,False,False,7/8,0
4,2,"3,4",3,3,False,False,7/8,0
